CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00008C,Monash University (Monash),001447E,Bachelor of Economics,,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Bachelor Degree,No,No,,,,English,156,"$177,963.00",$0.00,"$177,963.00",No
00008C,Monash University (Monash),001461G,Master of Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Masters Degree (Coursework),No,No,,,,English,104,"$123,394.00",$0.00,"$123,394.00",No
00008C,Monash University (Monash),001468M,Master of Reproductive Sciences,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010999 - Biological Sciences, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$111,034.00",$0.00,"$111,034.00",No
00008C,Monash University (Monash),001469K,Master of Science (Research),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$112,270.00",$0.00,"$112,270.00",No
00008C,Monash University (Monash),001722B,Bachelor of Engineering (Honours),,No,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",,,,Bachelor Honours Degree,No,Yes,40.00,12,480,English,208,"$260,727.00",$0.00,"$260,727.00",No
00008C,Monash University (Monash),003925G,Doctor of Philosophy (Faculty of Science),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Doctoral Degree,No,No,,,,English,208,"$252,415.00",$0.00,"$252,415.00",No
00008C,Monash University (Monash),003968G,Bachelor of Science and Bachelor of Arts,,Yes,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$247,603.00",$0.00,"$247,603.00",No
00008C,Monash University (Monash),0100207,Graduate Certificate of International Sustainable Tourism Management,,No,08 - Management and Commerce,0807 - Tourism,080701 - Tourism,,,,Graduate Certificate,No,No,,,,English,26,"$24,500.00",$0.00,"$24,500.00",No
00008C,Monash University (Monash),0100208,Graduate Certificate of Strategic Communications Management,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$23,200.00",$0.00,"$23,200.00",No
00008C,Monash University (Monash),0100209,Graduate Certificate of Public Policy,,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,,,,Graduate Certificate,No,No,,,,English,26,"$23,000.00",$0.00,"$23,000.00",No
00008C,Monash University (Monash),0100210,Graduate Certificate of International Development Practice,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$23,000.00",$0.00,"$23,000.00",No
00008C,Monash University (Monash),0100211,Master of Regulation and Compliance,,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$123,394.00",$0.00,"$123,394.00",No
00008C,Monash University (Monash),0100364,Graduate Certificate of Journalism,,No,10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,,,,Graduate Certificate,No,No,,,,English,26,"$23,000.00",$0.00,"$23,000.00",No
00008C,Monash University (Monash),0100405,"Bachelor of Politics, Philosophy and Economics",,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090101 - Political Science,,,,Bachelor Degree,No,No,,,,English,156,"$161,409.00",$0.00,"$161,409.00",No
